year,total_babies,biblical_babies,biblical_rate
1880,201484,47748,23.698159655357248
1881,192688,44717,23.206945943701733
1882,221533,50329,22.718511463303436
1883,216946,47857,22.05940648825053
1884,243461,52691,21.642480725865745
1885,240854,50697,21.048851171248973
1886,255316,53199,20.836531983894467
1887,247392,50504,20.414564739361012
1888,299474,59670,19.924935052792563
1889,288946,56795,19.655921867753836
1890,301401,57852,19.194362327928573
1891,286673,55245,19.271085871358657
1892,334374,64868,19.39983371912888
1893,325223,62883,19.33534836097078
1894,338690,63910,18.869762910035725
1895,351020,66017,18.807190473477295
1896,357484,66347,18.55943203052444
1897,346957,63864,18.40689192032442
1898,381455,68499,17.957295093785635
1899,339234,60612,17.8673128283132
1900,450258,79642,17.68808105575026
1901,345812,60343,17.449654725689104
1902,386733,67798,17.530958051161914
1903,381200,66444,17.4302203567681
1904,403485,69969,17.341165099074317
1905,423922,73083,17.239728063181435
1906,428451,74232,17.32566851285211
1907,465390,80150,17.222114785448763
1908,488649,84566,17.306082689210456
1909,511224,88474,17.30630799805956
1910,590711,102919,17.422902231378796
1911,644278,115040,17.855646165164725
1912,988062,178827,18.098763033089014
1913,1137110,206921,18.197096147250484
1914,1416344,259501,18.32189072711149
1915,1832426,331279,18.078710954767068
1916,1934417,347160,17.946492405722243
1917,2006750,358675,17.87342718325651
1918,2171111,383825,17.678736831051015
1919,2110245,369637,17.516307348198907
1920,2262643,393944,17.410789063939827
1921,2334505,403533,17.285591592221905
1922,2289156,394061,17.214248395478506
1923,2302481,394269,17.123659218034806
1924,2381610,403806,16.95516898232708
1925,2333302,391417,16.77523955321686
1926,2295905,379691,16.53774873089261
1927,2319358,381979,16.469169485693886
1928,2260938,366177,16.195800150203148
1929,2192161,351594,16.038694238242538
1930,2223288,354375,15.939230545030602
1931,2104388,332276,15.789673767385102
1932,2111291,331548,15.703567153935671
1933,1999447,314575,15.733100202205911
1934,2076816,325037,15.650736512045363
1935,2089900,328011,15.695057179769368
1936,2077578,327932,15.784341189596732
1937,2130670,343494,16.121407820075376
1938,2212574,363091,16.410343789631444
1939,2203442,373933,16.97040357767529
1940,2302685,401497,17.4360366268074
1941,2436425,428413,17.58367279928584
1942,2731818,486914,17.823808174629498
1943,2822559,506833,17.95650684361248
1944,2690079,487961,18.139281411438102
1945,2652910,483757,18.23495708486153
1946,3195307,581209,18.189457225862803
1947,3602322,659516,18.30808017717461
1948,3452518,646857,18.735803839400692
1949,3484776,674735,19.362363606728238
1950,3503358,690760,19.717082867351838
1951,3683739,739086,20.063473552279355
1952,3798005,776552,20.44631326183088
1953,3853644,785695,20.38836488269285
1954,3980708,815725,20.491957712045195
1955,4015080,821628,20.46355240742401
1956,4123037,824136,19.98856668033782
1957,4202143,822894,19.582722434719617
1958,4133904,791956,19.1575808243249
1959,4157992,784851,18.875721742610374
1960,4153815,777341,18.713905169103583
1961,4142301,771193,18.617502687515948
1962,4035372,742693,18.404573357797002
1963,3958200,729391,18.42734071042393
1964,3887605,725498,18.661823925012957
1965,3625449,670954,18.506783573565645
1966,3475655,641203,18.44840756634361
1967,3394897,632256,18.623716713644036
1968,3378413,623975,18.469470724864014
1969,3475323,638408,18.369745776148
1970,3606514,657562,18.232620197786563
1971,3432355,615865,17.942928397557946
1972,3142994,568253,18.079989971345796
1973,3016887,567017,18.794770901263455
1974,3039999,591887,19.469973509859706
1975,3019394,592113,19.610325780603656
1976,3034300,609252,20.078832020564874
1977,3176494,652770,20.550015205443486
1978,3173870,664493,20.936364753439808
1979,3327000,699634,21.02897505259994
1980,3444506,737290,21.40481102369977
1981,3459375,759255,21.947750677506775
1982,3507962,763546,21.766085265461825
1983,3463339,755376,21.81062841379374
1984,3488755,754612,21.629836431621023
1985,3569110,752998,21.097640588269904
1986,3557078,737843,20.74295250202554
1987,3605614,737962,20.46702725250124
1988,3695043,746444,20.20122634567446
1989,3844447,763667,19.86415731573358
1990,3952478,766758,19.399424867133984
1991,3895265,738528,18.959634325264137
1992,3841273,704708,18.345689046313556
1993,3770279,680573,18.050998347867626
1994,3717653,665853,17.910574225189922
1995,3662155,658929,17.992930392077888
1996,3647195,658102,18.044058516202178
1997,3625749,656394,18.10368009478869
1998,3678207,663432,18.036831532319958
1999,3693867,665723,18.022386837425387
2000,3779904,674733,17.85053271194189
2001,3743390,662472,17.697114113143435
2002,3738291,654602,17.51072883304162
2003,3802319,646296,16.997416576568142
2004,3820923,633536,16.58070576140896
2005,3844845,622187,16.182368860123102
2006,3956189,619352,15.655268239206974
2007,3997683,607980,15.20830941322761
2008,3930665,584732,14.876159632021555
2009,3820175,557867,14.603179173728954
2010,3695739,534581,14.464793103625553
2011,3657792,518516,14.175655696113939
2012,3657367,511263,13.978990897003227
2013,3645667,505976,13.878832049114745
2014,3706376,507473,13.691892026065352
2015,3700912,501907,13.561711275491014
2016,3668698,490899,13.380741614600055
2017,3576195,466526,13.04531771897226
2018,3515897,447313,12.72258544547807
2019,3470933,430910,12.414817572105253
2020,3340577,404593,12.111470563318852
2021,3387949,399617,11.79524839364465
2022,3383135,391628,11.575890409339266
2023,3311196,378711,11.437287312499773
2024,3328501,381334,11.456628674589552
