year,total_babies,total_unique_names,top1_count,top1_pct,top10_count,top10_pct,top50_count,top50_pct,top100_count,top100_pct,top1_name,top1_gender
1880,201484,2000,9655,4.7919437771733735,53665,26.63486927001648,104217,51.724702705922056,131965,65.49651585237537,John,M
1881,192688,1934,8768,4.550361205679647,49279,25.57450386116416,98511,51.12461595947854,125932,65.35539317445819,John,M
1882,221533,2127,9557,4.314029963933138,54778,24.726790139618025,111190,50.19116790726438,143229,64.65357305683578,John,M
1883,216946,2084,8894,4.099637697860297,51268,23.63168714795387,107666,49.62801803213703,140009,64.53633623113586,John,M
1884,243461,2297,9388,3.856059081331301,55330,22.726432570309,118615,48.72032892331831,154834,63.597044290461305,John,M
1885,240854,2294,9128,3.789847791608194,52747,21.8999892050786,115791,48.07518247569067,152283,63.22626985642754,Mary,F
1886,255316,2392,9889,3.873239436619718,54580,21.377430321640635,121593,47.62451236898588,160371,62.81274969057952,Mary,F
1887,247392,2373,9888,3.996895615056266,50989,20.61060988229207,116728,47.18341741042556,154857,62.59579937912301,Mary,F
1888,299474,2651,11754,3.924881625783874,59523,19.87584898855994,139002,46.41538163580144,185570,61.96531251460896,Mary,F
1889,288946,2590,11648,4.031203062163864,55629,19.252386259024178,132923,46.00271330975338,178439,61.75513763817461,Mary,F
1890,301401,2695,12078,4.007285974499089,56213,18.650568511716948,136794,45.38604715976391,184759,61.30006204358976,Mary,F
1891,286673,2660,11704,4.082700498477359,52341,18.258084995796604,129030,45.0094707209957,174656,60.92516560680637,Mary,F
1892,334374,2921,13172,3.939301500714768,60198,18.003194028243826,149894,44.82824621531579,202440,60.54298480144988,Mary,F
1893,325223,2831,12784,3.930841299662078,57407,17.651580607767595,145376,44.70040556787189,197096,60.603339862186864,Mary,F
1894,338690,2941,13151,3.882901768578936,58291,17.210723670613245,148648,43.88910212879034,202876,59.900203726121234,Mary,F
1895,351020,3049,13447,3.830835849809128,59808,17.038345393424876,153154,43.6311321292234,209339,59.63734260156116,Mary,F
1896,357484,3091,13811,3.863389690167952,61034,17.073211668214523,154937,43.34096071432568,212127,59.3388795022994,Mary,F
1897,346957,3028,13413,3.865896926708497,58766,16.937545574811864,149424,43.06700830362264,204940,59.06783837766639,Mary,F
1898,381455,3264,14406,3.776592258588824,63877,16.745618749262693,162922,42.71067360501239,223522,58.59721330170007,Mary,F
