year,sex,top1_name,top1_count,top1_pct,top10_names
1880,M,John,9655,8.738347361752195,John|William|James|Charles|George|Frank|Joseph|Thomas|Henry|Robert
1880,F,Mary,7065,7.764248192188496,Mary|Anna|Emma|Elizabeth|Minnie|Margaret|Ida|Alice|Bertha|Sarah
1881,M,John,8768,8.704025413212884,John|William|James|George|Charles|Frank|Joseph|Henry|Thomas|Edward
1881,F,Mary,6919,7.524496210020335,Mary|Anna|Emma|Elizabeth|Margaret|Minnie|Ida|Annie|Bertha|Alice
1882,M,John,9557,8.406488046021497,John|William|James|George|Charles|Frank|Joseph|Thomas|Henry|Robert
1882,F,Mary,8148,7.555147570168851,Mary|Anna|Emma|Elizabeth|Minnie|Margaret|Ida|Alice|Bertha|Annie
1883,M,John,8894,8.500836320191159,John|William|James|Charles|George|Frank|Joseph|Henry|Robert|Thomas
1883,F,Mary,8012,7.133127376002707,Mary|Anna|Emma|Elizabeth|Minnie|Margaret|Bertha|Ida|Annie|Clara
1884,M,John,9388,8.203282011848795,John|William|James|George|Charles|Frank|Joseph|Thomas|Henry|Robert
1884,F,Mary,9217,7.143909036653516,Mary|Anna|Emma|Elizabeth|Minnie|Margaret|Ida|Clara|Bertha|Annie
1885,M,John,8756,8.12252432768393,John|William|James|George|Charles|Frank|Joseph|Henry|Robert|Thomas
1885,F,Mary,9128,6.860320919920333,Mary|Anna|Emma|Elizabeth|Margaret|Minnie|Clara|Bertha|Ida|Annie
1886,M,John,9026,8.147459447749203,John|William|James|George|Charles|Frank|Joseph|Robert|Henry|Thomas
1886,F,Mary,9889,6.842036074806446,Mary|Anna|Emma|Elizabeth|Minnie|Margaret|Ida|Bertha|Clara|Florence
1887,M,John,8110,7.997160071392649,John|William|James|George|Charles|Frank|Joseph|Henry|Thomas|Edward
1887,F,Mary,9888,6.77348422054925,Mary|Anna|Elizabeth|Emma|Margaret|Minnie|Bertha|Clara|Florence|Ida
1888,M,John,9247,7.651507629166253,John|William|James|George|Charles|Frank|Joseph|Robert|Harry|Henry
1888,F,Mary,11754,6.58037643739293,Mary|Anna|Elizabeth|Emma|Margaret|Minnie|Bertha|Florence|Ethel|Bessie
1889,M,John,8548,7.730150117561946,John|William|James|George|Charles|Frank|Joseph|Harry|Robert|Edward
1889,F,Mary,11648,6.530392563605171,Mary|Anna|Elizabeth|Margaret|Emma|Minnie|Florence|Ethel|Bessie|Clara
1890,M,John,8502,7.6578037181150025,John|William|James|George|Charles|Frank|Joseph|Robert|Henry|Harry
1890,F,Mary,12078,6.344253770150806,Mary|Anna|Elizabeth|Margaret|Emma|Florence|Ethel|Minnie|Clara|Bertha
