id,school_name,city,x_frpm,y_greenery_index
43693696046122,Ben Painter Elementary,San Jose,0.519,0.2576856439142485
43693696046213,Linda Vista Elementary,San Jose,0.682,0.4493370489705503
43693696046221,Lyndale Elementary,San Jose,0.8290000000000001,0.3420793506642636
43693696046247,Aptitud Community Academy at Goss,San Jose,0.8909999999999999,0.342257007701271
43693696046254,Millard McCollam Elementary,San Jose,0.535,0.3419753701381383
43693696046270,O. S. Hubbard Elementary,San Jose,0.85,0.4060631819832953
43693696046304,San Antonio Elementary,San Jose,0.917,0.3578935831976086
43693696046320,Thomas P. Ryan Elementary,San Jose,0.838,0.3630048563816068
43693696046338,William Sheppard Middle,San Jose,0.7140000000000001,0.2325489882845992
43693696089270,Ocala Middle,San Jose,0.7929999999999999,0.2340458037865016
43693776046379,Noble Elementary,San Jose,0.235,0.4508350969027365
43693776046387,Northwood Elementary,San Jose,0.133,0.4589836857519649
43693776046395,Piedmont Middle,San Jose,0.34,0.5806577686148527
43693776067177,Ruskin Elementary,San Jose,0.155,0.3654271365822496
43693776068928,Morrill Middle,San Jose,0.349,0.4424010674780091
43693776093033,Sierramont Middle,San Jose,0.248,0.4275231036654394
43693776093041,Vinci Park Elementary,San Jose,0.312,0.5133647960110532
43693776095335,Brooktree Elementary,San Jose,0.406,0.3945795039015534
43693776095343,Majestic Way Elementary,San Jose,0.299,0.4318362336983813
43693776095350,Summerdale Elementary,San Jose,0.3829999999999999,0.4097283574995553
43693850133439,Steindorf STEAM K-8 Magnet,San Jose,0.047,0.3858152807867703
43693856046411,Bagby Elementary,San Jose,0.149,0.6673340136243936
43693936046676,Rosemary,Campbell,0.738,0.4154432400719796
43694014330239,Leigh High,San Jose,0.18,0.4412327190801477
43694014330866,Branham High,San Jose,0.314,0.3355517734740001
43694014331955,Del Mar High,San Jose,0.696,0.3486949120425344
43694014336137,Prospect High,Saratoga,0.492,0.6686613273003651
43694014338505,Westmont High,Campbell,0.42,0.4325110996418109
43694190108126,Sam H. Lawson Middle,Cupertino,0.152,0.52032243485989
43694196046718,C. B. Eaton Elementary,Cupertino,0.157,0.4943640254334265
43694196046742,Chester W. Nimitz Elementary,Sunnyvale,0.506,0.5667172705193113
43694196046759,L. P. Collins Elementary,Cupertino,0.171,0.5858249622431051
43694196046767,Cupertino Middle,Sunnyvale,0.209,0.2523725761360713
43694196046775,D. J. Sedgwick Elementary,Cupertino,0.27,0.3753997345278123
43694196046809,Dwight D. Eisenhower Elementary,Santa Clara,0.28,0.7418116770830606
43694196046841,Garden Gate Elementary,Cupertino,0.208,0.4938697384463868
43694196046882,Joaquin Miller Middle,San Jose,0.135,0.4519389672716973
43694196046890,John F. Kennedy Middle,Cupertino,0.157,0.5917354569293231
43694196046908,John Muir Elementary,San Jose,0.084,0.4458223027249635
43694196046932,Christa McAuliffe,Saratoga,0.098,0.5831012944111286
43694196046940,Abraham Lincoln Elementary,Cupertino,0.144,0.3917098885407351
43694196046957,Louis E. Stocklmeir Elementary,Sunnyvale,0.213,0.4202264690146498
43694196046965,Manuel De Vargas Elementary,San Jose,0.449,0.5678586882686265
43694196046981,Montclaire Elementary,Los Altos,0.088,0.6100696743423853
43694196047005,Nelson S. Dilworth Elementary,San Jose,0.196,0.5134910576533797
43694196047039,Murdock-Portal Elementary,San Jose,0.085,0.4923202020821292
43694196047088,Stevens Creek Elementary,Cupertino,0.133,0.6738358056938459
43694196047096,Warren E. Hyde Middle,Cupertino,0.263,0.4752901818496548
43694196047104,West Valley Elementary,Sunnyvale,0.159,0.5653005794349867
43694196047112,William Faria Elementary,Cupertino,0.125,0.4914737675841039
43694196067185,Blue Hills Elementary,Saratoga,0.163,0.6698591915762453
43694274330015,Yerba Buena High,San Jose,0.619,0.4371344764602463
43694274330023,Santa Teresa High,San Jose,0.2789999999999999,0.4533470398931765
43694274330031,Independence High,San Jose,0.47,0.4141972597995895
43694274330692,Evergreen Valley High,San Jose,0.2239999999999999,0.3514428024187583
43694274332995,Andrew P. Hill High,San Jose,0.6759999999999999,0.3402122528599081
43694274333639,James Lick High,San Jose,0.6579999999999999,0.3201344703996789
43694274334900,Mt. Pleasant High,San Jose,0.625,0.4757092090867644
43694274335204,Oak Grove High,San Jose,0.562,0.4739728516734985
43694274335428,William C. Overfelt High,San Jose,0.627,0.336366661076091
43694274335907,Piedmont Hills High,San Jose,0.301,0.5356798926352592
43694274337903,Silver Creek High,San Jose,0.446,0.5032068637821254
