year,phonetic,sex,top_variant,num_variants,total_count,variant_details,variant_names
1914,JH AA N IY,M,Johnnie,5,1710,Johnnie:929|Johnie:405|Johnny:331|Johney:25|Johny:20,"Johnnie, Johnie, Johnny, Johney, Johny"
1915,JH AA N IY,M,Johnnie,5,2089,Johnnie:1168|Johnie:456|Johnny:417|Johny:27|Johney:21,"Johnnie, Johnie, Johnny, Johny, Johney"
1916,JH AA N IY,M,Johnnie,5,2307,Johnnie:1306|Johnie:493|Johnny:458|Johny:30|Johney:20,"Johnnie, Johnie, Johnny, Johny, Johney"
1917,JH AA N IY,M,Johnnie,5,2555,Johnnie:1403|Johnie:552|Johnny:530|Johney:37|Johny:33,"Johnnie, Johnie, Johnny, Johney, Johny"
1918,JH IY N,F,Jean,5,8709,Jean:6600|Jeanne:1846|Gene:151|Jeane:88|Gean:24,"Jean, Jeanne, Gene, Jeane, Gean"
1918,JH AA N IY,M,Johnnie,5,2870,Johnnie:1521|Johnny:644|Johnie:633|Johney:36|Johny:36,"Johnnie, Johnny, Johnie, Johney, Johny"
1919,JH AA N IY,M,Johnnie,5,3117,Johnnie:1716|Johnny:660|Johnie:645|Johny:51|Johney:45,"Johnnie, Johnny, Johnie, Johny, Johney"
1920,JH AA N IY,M,Johnnie,5,3272,Johnnie:1727|Johnny:767|Johnie:706|Johny:47|Johney:25,"Johnnie, Johnny, Johnie, Johny, Johney"
1920,AH L IY N,F,Alene,5,424,Alene:264|Aleen:57|Olene:50|Alean:31|Ileene:22,"Alene, Aleen, Olene, Alean, Ileene"
1921,JH IY N,F,Jean,5,11514,Jean:8592|Jeanne:2590|Gene:183|Jeane:129|Gean:20,"Jean, Jeanne, Gene, Jeane, Gean"
1921,JH AA N IY,M,Johnnie,5,3148,Johnnie:1624|Johnny:824|Johnie:626|Johny:41|Johney:33,"Johnnie, Johnny, Johnie, Johny, Johney"
1921,D W EY N,M,Duane,5,694,Duane:546|Dwayne:58|Dwain:41|Dwaine:28|Dwane:21,"Duane, Dwayne, Dwain, Dwaine, Dwane"
1922,JH IY N,F,Jean,5,12406,Jean:9109|Jeanne:2917|Gene:214|Jeane:143|Gean:23,"Jean, Jeanne, Gene, Jeane, Gean"
1922,JH AA N IY,M,Johnnie,5,3191,Johnnie:1647|Johnny:862|Johnie:608|Johny:40|Johney:34,"Johnnie, Johnny, Johnie, Johny, Johney"
1923,JH AA N IY,M,Johnnie,6,3329,Johnnie:1653|Johnny:976|Johnie:600|Johny:52|Johney:28|Johnney:20,"Johnnie, Johnny, Johnie, Johny, Johney, Johnney"
1923,D W EY N,M,Duane,5,902,Duane:725|Dwayne:66|Dwain:53|Dwaine:33|Dwane:25,"Duane, Dwayne, Dwain, Dwaine, Dwane"
1924,JH IY N,F,Jean,5,14301,Jean:10721|Jeanne:3150|Gene:257|Jeane:153|Gean:20,"Jean, Jeanne, Gene, Jeane, Gean"
1924,JH AA N IY,M,Johnnie,5,3444,Johnnie:1741|Johnny:1046|Johnie:579|Johny:49|Johney:29,"Johnnie, Johnny, Johnie, Johny, Johney"
1924,D W EY N,M,Duane,5,1019,Duane:815|Dwayne:93|Dwain:53|Dwaine:33|Dwane:25,"Duane, Dwayne, Dwain, Dwaine, Dwane"
1925,JH IY N,F,Jean,5,15367,Jean:11598|Jeanne:3225|Gene:374|Jeane:145|Gean:25,"Jean, Jeanne, Gene, Jeane, Gean"
